price_in_rp,city,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,garages,floors,rasio_tanah_bangunan,total_ruangan,city_encoded
1870000000.0, Bekasi,3.0,4.0,91.0,165.0,2.0,0.0,3.0,0.5515151515151515,7.0,0
1590000000.0, Bekasi,3.0,3.0,118.0,156.0,2.0,0.0,2.0,0.7564102564102564,6.0,0
1620000000.0, Bekasi,3.0,3.0,118.0,156.0,2.0,0.0,2.0,0.7564102564102564,6.0,0
500000000.0, Bekasi,2.0,1.0,64.0,47.0,1.0,0.0,1.0,1.3617021276595744,3.0,0
750000000.0, Bekasi,2.0,1.0,78.0,54.0,2.0,0.0,1.0,1.4444444444444444,3.0,0
600000000.0, Bekasi,2.0,2.0,65.0,53.0,1.0,0.0,2.0,1.2264150943396226,4.0,0
799000000.0, Bekasi,2.0,1.0,97.0,70.0,0.0,1.0,1.0,1.3857142857142857,3.0,0
799000000.0, Bekasi,2.0,1.0,97.0,70.0,0.0,1.0,1.0,1.3857142857142857,3.0,0
799000000.0, Bekasi,2.0,1.0,97.0,70.0,1.0,1.0,1.0,1.3857142857142857,3.0,0
959000000.0, Bekasi,3.0,2.0,96.0,80.0,1.0,0.0,2.0,1.2,5.0,0
774000000.0, Bekasi,3.0,2.0,70.0,70.0,1.0,0.0,2.0,1.0,5.0,0
995000000.0, Bekasi,3.0,2.0,80.0,90.0,0.0,1.0,2.0,0.8888888888888888,5.0,0
